S,I,R,Reaction Type
15,20,157,6
16,20,157,6
17,20,157,6
18,20,157,6
19,20,157,2
19,19,158,5
19,19,157,2
19,18,158,2
19,17,159,6
20,17,159,2
20,16,160,2
20,15,161,2
20,14,162,2
20,13,163,6
21,13,163,2
21,12,164,5
21,12,163,2
21,11,164,6
22,11,164,2
22,10,165,1
21,11,165,2
21,10,166,6
22,10,166,6
23,10,166,2
23,9,167,6
24,9,167,5
24,9,166,6
25,9,166,1
24,10,166,6
25,10,166,6
26,10,166,2
26,9,167,2
26,8,168,2
26,7,169,2
26,6,170,6
27,6,170,2
27,5,171,1
26,6,171,1
25,7,171,6
26,7,171,1
25,8,171,2
25,7,172,6
26,7,172,6
27,7,172,2
27,6,173,6
28,6,173,6
29,6,173,2
29,5,174,2
29,4,175,6
30,4,175,5
30,4,174,6
31,4,174,6
32,4,174,6
33,4,174,2
33,3,175,6
34,3,175,6
35,3,175,6
36,3,175,6
37,3,175,6
38,3,175,6
39,3,175,6
40,3,175,6
41,3,175,6
42,3,175,6
43,3,175,6
44,3,175,2
44,2,176,1
43,3,176,6
44,3,176,5
44,3,175,1
43,4,175,6
44,4,175,2
44,3,176,6
45,3,176,6
46,3,176,6
47,3,176,6
48,3,176,1
47,4,176,6
48,4,176,5
48,4,175,2
48,3,176,6
49,3,176,6
50,3,176,6
51,3,176,2
51,2,177,5
51,2,176,6
52,2,176,6
53,2,176,6
54,2,176,6
55,2,176,2
55,1,177,2
55,0,178,6
56,0,178,6
57,0,178,6
58,0,178,6
59,0,178,5
59,0,177,6
60,0,177,6
61,0,177,6
62,0,177,6
63,0,177,6
64,0,177,6
65,0,177,6
66,0,177,6
67,0,177,6
68,0,177,6
69,0,177,6
70,0,177,6
71,0,177,6
72,0,177,6
73,0,177,6
74,0,177,6
75,0,177,5
75,0,176,6
76,0,176,6
77,0,176,6
78,0,176,5
78,0,175,6
79,0,175,6
80,0,175,6
81,0,175,6
82,0,175,6
83,0,175,6
84,0,175,6
85,0,175,6
86,0,175,6
87,0,175,6
88,0,175,6
89,0,175,6
90,0,175,6
91,0,175,6
92,0,175,6
93,0,175,6
94,0,175,5
94,0,174,6
95,0,174,6
96,0,174,6
97,0,174,6
98,0,174,6
99,0,174,6
100,0,174,6
101,0,174,6
102,0,174,6
103,0,174,6
104,0,174,6
105,0,174,6
106,0,174,6
107,0,174,6
108,0,174,6
109,0,174,6
110,0,174,3
109,0,174,6
110,0,174,6
111,0,174,6
112,0,174,6
113,0,174,6
114,0,174,6
115,0,174,6
116,0,174,6
117,0,174,6
118,0,174,6
119,0,174,5
119,0,173,6
120,0,173,6
121,0,173,6
122,0,173,6
123,0,173,6
124,0,173,6
125,0,173,6
126,0,173,6
127,0,173,6
128,0,173,6
129,0,173,6
130,0,173,6
131,0,173,6
132,0,173,6
133,0,173,5
133,0,172,6
134,0,172,6
135,0,172,6
136,0,172,6
137,0,172,6
138,0,172,6
139,0,172,3
138,0,172,3
137,0,172,6
138,0,172,6
139,0,172,6
140,0,172,6
141,0,172,6
142,0,172,6
143,0,172,6
144,0,172,6
145,0,172,6
146,0,172,6
147,0,172,6
148,0,172,6
149,0,172,6
150,0,172,6
151,0,172,6
152,0,172,6
153,0,172,6
154,0,172,6
155,0,172,6
156,0,172,6
157,0,172,6
158,0,172,6
159,0,172,3
158,0,172,6
159,0,172,6
160,0,172,6
161,0,172,6
162,0,172,5
162,0,171,6
163,0,171,3
162,0,171,6
163,0,171,5
163,0,170,6
164,0,170,6
165,0,170,6
166,0,170,6
167,0,170,6
168,0,170,6
169,0,170,3
168,0,170,6
169,0,170,6
170,0,170,6
171,0,170,6
172,0,170,6
173,0,170,6
174,0,170,6
175,0,170,3
174,0,170,6
175,0,170,6
176,0,170,6
177,0,170,6
178,0,170,6
179,0,170,6
180,0,170,6
181,0,170,6
182,0,170,6
183,0,170,6
184,0,170,6
185,0,170,6
186,0,170,6
187,0,170,6
188,0,170,6
189,0,170,6
190,0,170,6
191,0,170,6
192,0,170,6
100,1,0,6
101,1,0,6
102,1,0,6
103,1,0,6
104,1,0,6
105,1,0,6
106,1,0,6
107,1,0,6
108,1,0,6
109,1,0,6
110,1,0,6
111,1,0,6
112,1,0,6
113,1,0,6
114,1,0,6
115,1,0,1
114,2,0,1
113,3,0,6
114,3,0,1
113,4,0,6
114,4,0,6
115,4,0,1
114,5,0,2
114,4,1,1
113,5,1,1
112,6,1,1
111,7,1,6
112,7,1,6
113,7,1,1
112,8,1,6
113,8,1,1
112,9,1,1
111,10,1,6
112,10,1,6
113,10,1,2
113,9,2,2
113,8,3,1
112,9,3,1
111,10,3,1
110,11,3,6
111,11,3,1
110,12,3,2
110,11,4,6
111,11,4,6
112,11,4,6
113,11,4,1
112,12,4,6
113,12,4,1
112,13,4,6
113,13,4,1
112,14,4,6
113,14,4,1
112,15,4,1
111,16,4,6
112,16,4,6
113,16,4,2
113,15,5,1
112,16,5,1
111,17,5,1
110,18,5,6
111,18,5,1
110,19,5,1
109,20,5,6
110,20,5,1
109,21,5,1
108,22,5,2
108,21,6,6
109,21,6,2
109,20,7,1
108,21,7,1
107,22,7,6
108,22,7,1
107,23,7,1
106,24,7,2
106,23,8,1
105,24,8,1
104,25,8,2
104,24,9,1
103,25,9,1
102,26,9,1
101,27,9,3
100,27,9,1
99,28,9,2
99,27,10,1
98,28,10,1
97,29,10,1
96,30,10,1
95,31,10,1
94,32,10,1
93,33,10,1
92,34,10,1
91,35,10,1
90,36,10,2
90,35,11,1
89,36,11,1
88,37,11,6
89,37,11,1
88,38,11,1
87,39,11,1
86,40,11,2
86,39,12,2
86,38,13,1
85,39,13,1
84,40,13,3
83,40,13,2
83,39,14,1
82,40,14,1
81,41,14,1
80,42,14,1
79,43,14,1
78,44,14,1
77,45,14,1
76,46,14,1
75,47,14,2
75,46,15,1
74,47,15,2
74,46,16,2
74,45,17,1
73,46,17,1
72,47,17,2
72,46,18,1
71,47,18,2
71,46,19,1
70,47,19,2
70,46,20,1
69,47,20,1
68,48,20,1
67,49,20,2
67,48,21,1
66,49,21,2
66,48,22,2
66,47,23,2
66,46,24,6
67,46,24,2
67,45,25,2
67,44,26,1
66,45,26,1
65,46,26,1
64,47,26,1
63,48,26,1
62,49,26,2
62,48,27,1
61,49,27,2
61,48,28,2
61,47,29,1
60,48,29,1
59,49,29,2
59,48,30,1
58,49,30,1
57,50,30,1
56,51,30,2
56,50,31,1
55,51,31,2
55,50,32,2
55,49,33,1
54,50,33,2
54,49,34,6
55,49,34,1
54,50,34,1
53,51,34,1
52,52,34,2
52,51,35,2
52,50,36,6
53,50,36,2
53,49,37,2
53,48,38,2
53,47,39,2
53,46,40,2
53,45,41,2
53,44,42,6
54,44,42,1
53,45,42,2
53,44,43,6
54,44,43,1
53,45,43,2
53,44,44,1
52,45,44,1
51,46,44,6
52,46,44,1
51,47,44,1
50,48,44,6
51,48,44,1
50,49,44,1
49,50,44,2
49,49,45,1
48,50,45,1
47,51,45,2
47,50,46,2
47,49,47,2
47,48,48,2
47,47,49,2
47,46,50,2
47,45,51,2
47,44,52,6
48,44,52,2
48,43,53,2
48,42,54,2
48,41,55,2
48,40,56,2
48,39,57,2
48,38,58,1
47,39,58,6
48,39,58,1
47,40,58,2
47,39,59,1
46,40,59,1
45,41,59,6
46,41,59,1
45,42,59,1
44,43,59,1
43,44,59,1
42,45,59,1
41,46,59,1
40,47,59,1
39,48,59,6
40,48,59,1
39,49,59,1
38,50,59,1
37,51,59,2
37,50,60,2
37,49,61,1
36,50,61,6
37,50,61,1
36,51,61,2
36,50,62,1
35,51,62,2
35,50,63,2
35,49,64,2
35,48,65,2
35,47,66,1
34,48,66,6
35,48,66,2
35,47,67,1
34,48,67,2
34,47,68,2
34,46,69,2
34,45,70,6
35,45,70,1
34,46,70,2
34,45,71,2
34,44,72,6
35,44,72,1
34,45,72,2
34,44,73,1
33,45,73,2
33,44,74,2
33,43,75,2
33,42,76,2
33,41,77,1
32,42,77,2
32,41,78,1
31,42,78,6
32,42,78,6
33,42,78,1
32,43,78,1
31,44,78,2
31,43,79,1
30,44,79,2
30,43,80,2
30,42,81,2
30,41,82,2
30,40,83,2
30,39,84,2
30,38,85,1
29,39,85,2
29,38,86,1
28,39,86,1
27,40,86,1
26,41,86,2
26,40,87,2
26,39,88,2
26,38,89,6
27,38,89,1
26,39,89,1
25,40,89,2
25,39,90,2
25,38,91,2
25,37,92,1
24,38,92,2
24,37,93,2
24,36,94,6
25,36,94,2
25,35,95,1
24,36,95,1
23,37,95,1
22,38,95,6
23,38,95,2
23,37,96,2
23,36,97,6
24,36,97,2
24,35,98,2
24,34,99,1
23,35,99,2
23,34,100,2
23,33,101,6
24,33,101,2
24,32,102,1
23,33,102,2
23,32,103,2
23,31,104,2
23,30,105,6
24,30,105,2
24,29,106,1
23,30,106,2
23,29,107,2
23,28,108,6
24,28,108,1
23,29,108,2
23,28,109,2
23,27,110,6
24,27,110,1
23,28,110,2
23,27,111,2
23,26,112,1
22,27,112,2
22,26,113,5
22,26,112,1
21,27,112,2
21,26,113,2
21,25,114,2
21,24,115,2
21,23,116,2
21,22,117,6
22,22,117,1
21,23,117,1
20,24,117,2
20,23,118,6
21,23,118,6
22,23,118,2
22,22,119,2
22,21,120,1
21,22,120,6
22,22,120,1
21,23,120,2
21,22,121,6
22,22,121,2
22,21,122,1
21,22,122,6
22,22,122,6
23,22,122,6
24,22,122,1
23,23,122,2
23,22,123,6
24,22,123,1
23,23,123,6
24,23,123,2
24,22,124,2
24,21,125,2
24,20,126,2
24,19,127,1
23,20,127,2
23,19,128,1
22,20,128,1
21,21,128,2
21,20,129,6
22,20,129,1
21,21,129,6
22,21,129,2
22,20,130,2
22,19,131,2
22,18,132,2
22,17,133,6
23,17,133,1
22,18,133,1
21,19,133,2
21,18,134,1
20,19,134,2
20,18,135,2
20,17,136,6
21,17,136,2
21,16,137,6
22,16,137,2
22,15,138,6
23,15,138,1
22,16,138,6
23,16,138,1
22,17,138,6
23,17,138,2
23,16,139,6
24,16,139,1
23,17,139,6
24,17,139,6
25,17,139,6
26,17,139,2
26,16,140,2
26,15,141,1
25,16,141,6
26,16,141,3
25,16,141,1
24,17,141,2
24,16,142,2
24,15,143,6
25,15,143,2
25,14,144,2
25,13,145,6
26,13,145,2
26,12,146,6
27,12,146,1
26,13,146,6
27,13,146,2
27,12,147,6
28,12,147,2
28,11,148,6
29,11,148,6
30,11,148,2
30,10,149,6
31,10,149,2
31,9,150,6
32,9,150,6
33,9,150,6
34,9,150,1
33,10,150,6
34,10,150,2
34,9,151,6
35,9,151,1
34,10,151,6
35,10,151,2
35,9,152,6
36,9,152,1
35,10,152,2
35,9,153,5
35,9,152,2
35,8,153,2
35,7,154,6
36,7,154,6
37,7,154,6
38,7,154,6
39,7,154,2
39,6,155,2
39,5,156,6
40,5,156,6
41,5,156,2
41,4,157,2
41,3,158,1
40,4,158,6
41,4,158,6
42,4,158,6
43,4,158,6
44,4,158,6
45,4,158,6
46,4,158,6
47,4,158,6
48,4,158,1
47,5,158,6
48,5,158,1
47,6,158,1
46,7,158,6
47,7,158,6
48,7,158,1
47,8,158,2
47,7,159,6
48,7,159,6
49,7,159,6
50,7,159,1
49,8,159,6
50,8,159,6
51,8,159,6
52,8,159,2
52,7,160,6
53,7,160,6
54,7,160,2
54,6,161,6
55,6,161,6
56,6,161,2
56,5,162,6
57,5,162,6
58,5,162,2
58,4,163,1
57,5,163,6
58,5,163,2
58,4,164,6
59,4,164,1
58,5,164,2
58,4,165,2
58,3,166,6
59,3,166,6
60,3,166,3
59,3,166,6
60,3,166,6
61,3,166,6
62,3,166,6
63,3,166,6
64,3,166,1
63,4,166,2
63,3,167,6
64,3,167,6
65,3,167,6
66,3,167,6
67,3,167,6
68,3,167,2
68,2,168,6
69,2,168,2
69,1,169,2
69,0,170,6
70,0,170,6
71,0,170,6
72,0,170,6
73,0,170,6
74,0,170,6
75,0,170,6
76,0,170,6
77,0,170,6
78,0,170,6
79,0,170,6
80,0,170,5
80,0,169,6
81,0,169,6
82,0,169,6
83,0,169,5
83,0,168,6
84,0,168,6
85,0,168,6
86,0,168,6
87,0,168,6
88,0,168,6
89,0,168,6
90,0,168,6
91,0,168,6
92,0,168,6
93,0,168,6
94,0,168,6
95,0,168,6
96,0,168,5
96,0,167,6
97,0,167,6
98,0,167,6
99,0,167,3
98,0,167,6
99,0,167,6
100,0,167,6
101,0,167,6
102,0,167,6
103,0,167,6
104,0,167,3
103,0,167,6
104,0,167,6
105,0,167,6
106,0,167,6
107,0,167,6
108,0,167,6
109,0,167,6
110,0,167,3
109,0,167,6
110,0,167,6
111,0,167,6
112,0,167,5
112,0,166,6
113,0,166,6
114,0,166,6
115,0,166,6
116,0,166,6
117,0,166,6
118,0,166,6
119,0,166,6
120,0,166,6
121,0,166,6
122,0,166,6
123,0,166,6
124,0,166,6
125,0,166,5
125,0,165,5
125,0,164,6
126,0,164,6
127,0,164,6
128,0,164,6
129,0,164,6
130,0,164,6
131,0,164,6
132,0,164,6
133,0,164,6
134,0,164,6
135,0,164,6
136,0,164,6
137,0,164,6
138,0,164,3
137,0,164,6
138,0,164,6
139,0,164,6
140,0,164,6
141,0,164,6
142,0,164,6
143,0,164,3
142,0,164,6
143,0,164,3
142,0,164,5
142,0,163,6
143,0,163,6
144,0,163,5
144,0,162,6
145,0,162,6
146,0,162,6
147,0,162,6
148,0,162,6
149,0,162,6
150,0,162,6
151,0,162,6
152,0,162,6
153,0,162,6
154,0,162,6
155,0,162,6
156,0,162,6
157,0,162,6
158,0,162,6
159,0,162,6
160,0,162,6
161,0,162,6
162,0,162,6
163,0,162,6
164,0,162,6
165,0,162,6
166,0,162,6
167,0,162,6
168,0,162,6
169,0,162,6
170,0,162,6
171,0,162,6
172,0,162,6
173,0,162,6
174,0,162,6
175,0,162,6
176,0,162,6
177,0,162,6
178,0,162,6
179,0,162,3
178,0,162,6
179,0,162,6
180,0,162,6
181,0,162,6
182,0,162,5
182,0,161,6
183,0,161,6
184,0,161,6
185,0,161,6
186,0,161,6
187,0,161,6
188,0,161,6
189,0,161,6
190,0,161,6
191,0,161,6
192,0,161,6
193,0,161,6
194,0,161,6
195,0,161,6
196,0,161,6
197,0,161,6
198,0,161,6
100,1,0,6
101,1,0,6
102,1,0,6
103,1,0,6
104,1,0,6
105,1,0,6
106,1,0,1
105,2,0,6
106,2,0,1
105,3,0,1
104,4,0,6
105,4,0,1
104,5,0,6
105,5,0,2
105,4,1,6
106,4,1,1
105,5,1,2
105,4,2,6
106,4,2,6
107,4,2,2
107,3,3,6
108,3,3,2
108,2,4,6
109,2,4,1
108,3,4,6
109,3,4,6
110,3,4,1
109,4,4,6
110,4,4,6
111,4,4,2
111,3,5,6
112,3,5,1
111,4,5,2
111,3,6,6
112,3,6,1
111,4,6,6
112,4,6,1
111,5,6,6
112,5,6,1
111,6,6,6
112,6,6,6
113,6,6,1
112,7,6,2
112,6,7,1
111,7,7,1
110,8,7,1
109,9,7,6
110,9,7,6
111,9,7,6
112,9,7,2
112,8,8,3
111,8,8,1
110,9,8,1
109,10,8,2
109,9,9,2
109,8,10,6
110,8,10,6
111,8,10,1
110,9,10,2
110,8,11,1
109,9,11,1
108,10,11,6
109,10,11,2
109,9,12,6
110,9,12,6
111,9,12,6
112,9,12,6
113,9,12,6
114,9,12,1
113,10,12,6
114,10,12,1
113,11,12,6
114,11,12,1
113,12,12,1
112,13,12,2
112,12,13,2
112,11,14,6
113,11,14,6
114,11,14,2
114,10,15,2
114,9,16,3
113,9,16,2
113,8,17,6
114,8,17,2
114,7,18,6
115,7,18,1
114,8,18,2
114,7,19,6
115,7,19,1
114,8,19,1
113,9,19,1
112,10,19,6
113,10,19,1
112,11,19,2
112,10,20,6
113,10,20,6
114,10,20,1
113,11,20,6
114,11,20,1
113,12,20,2
113,11,21,1
112,12,21,1
111,13,21,1
110,14,21,1
109,15,21,1
108,16,21,2
108,15,22,6
109,15,22,1
108,16,22,6
109,16,22,1
108,17,22,2
108,16,23,5
108,16,22,6
109,16,22,1
108,17,22,6
109,17,22,2
109,16,23,1
108,17,23,1
107,18,23,1
106,19,23,2
106,18,24,1
105,19,24,1
104,20,24,2
104,19,25,2
104,18,26,2
104,17,27,1
103,18,27,2
103,17,28,1
102,18,28,2
102,17,29,1
101,18,29,4
101,17,29,2
101,16,30,2
101,15,31,6
102,15,31,1
101,16,31,6
102,16,31,6
103,16,31,6
104,16,31,1
103,17,31,1
102,18,31,1
101,19,31,2
101,18,32,1
100,19,32,6
101,19,32,1
100,20,32,1
99,21,32,1
98,22,32,1
97,23,32,1
96,24,32,2
96,23,33,1
95,24,33,6
96,24,33,2
96,23,34,2
96,22,35,1
95,23,35,1
94,24,35,2
94,23,36,6
95,23,36,6
96,23,36,1
95,24,36,1
94,25,36,1
93,26,36,6
94,26,36,1
93,27,36,1
92,28,36,1
91,29,36,2
91,28,37,6
92,28,37,1
91,29,37,1
90,30,37,1
89,31,37,2
89,30,38,2
89,29,39,1
88,30,39,1
87,31,39,2
87,30,40,2
87,29,41,2
87,28,42,6
88,28,42,6
89,28,42,6
90,28,42,1
89,29,42,1
88,30,42,1
87,31,42,2
87,30,43,1
86,31,43,2
86,30,44,6
87,30,44,2
87,29,45,1
86,30,45,6
87,30,45,1
86,31,45,1
85,32,45,1
84,33,45,1
83,34,45,1
82,35,45,6
83,35,45,2
83,34,46,2
83,33,47,2
83,32,48,1
82,33,48,1
81,34,48,2
81,33,49,1
80,34,49,1
79,35,49,2
79,34,50,1
78,35,50,1
77,36,50,2
77,35,51,1
76,36,51,2
76,35,52,1
75,36,52,1
74,37,52,1
73,38,52,1
72,39,52,1
71,40,52,1
70,41,52,2
70,40,53,2
70,39,54,1
69,40,54,1
68,41,54,2
68,40,55,1
67,41,55,1
66,42,55,6
67,42,55,2
67,41,56,6
68,41,56,2
68,40,57,1
67,41,57,2
67,40,58,6
68,40,58,1
67,41,58,2
67,40,59,6
68,40,59,1
67,41,59,2
67,40,60,2
67,39,61,2
67,38,62,1
66,39,62,1
65,40,62,2
65,39,63,1
64,40,63,6
65,40,63,2
65,39,64,1
64,40,64,6
65,40,64,1
64,41,64,2
64,40,65,1
63,41,65,2
63,40,66,2
63,39,67,2
63,38,68,1
62,39,68,6
63,39,68,6
64,39,68,2
64,38,69,1
63,39,69,2
63,38,70,1
62,39,70,2
62,38,71,2
62,37,72,1
61,38,72,2
61,37,73,1
60,38,73,1
59,39,73,6
60,39,73,6
61,39,73,2
61,38,74,2
61,37,75,1
60,38,75,1
59,39,75,1
58,40,75,2
58,39,76,1
57,40,76,6
58,40,76,1
57,41,76,1
56,42,76,6
57,42,76,1
56,43,76,6
57,43,76,2
57,42,77,2
57,41,78,1
56,42,78,2
56,41,79,1
55,42,79,1
54,43,79,2
54,42,80,6
55,42,80,1
54,43,80,6
55,43,80,1
54,44,80,1
53,45,80,1
52,46,80,6
53,46,80,2
53,45,81,1
52,46,81,2
52,45,82,6
53,45,82,1
52,46,82,1
51,47,82,2
51,46,83,2
51,45,84,2
51,44,85,6
52,44,85,2
52,43,86,2
52,42,87,6
53,42,87,1
52,43,87,1
51,44,87,6
52,44,87,1
51,45,87,2
51,44,88,1
50,45,88,2
50,44,89,2
50,43,90,1
49,44,90,6
50,44,90,1
49,45,90,2
49,44,91,1
48,45,91,2
48,44,92,2
48,43,93,2
48,42,94,1
47,43,94,1
46,44,94,2
46,43,95,1
45,44,95,1
44,45,95,2
44,44,96,1
43,45,96,1
42,46,96,6
43,46,96,1
42,47,96,1
41,48,96,2
41,47,97,2
41,46,98,6
42,46,98,1
41,47,98,2
41,46,99,1
40,47,99,1
39,48,99,2
39,47,100,2
39,46,101,1
38,47,101,2
38,46,102,2
38,45,103,2
38,44,104,1
37,45,104,2
37,44,105,6
38,44,105,6
39,44,105,2
39,43,106,2
39,42,107,1
38,43,107,2
38,42,108,2
38,41,109,2
38,40,110,1
37,41,110,1
36,42,110,2
36,41,111,1
35,42,111,1
34,43,111,1
33,44,111,1
32,45,111,2
32,44,112,1
31,45,112,1
30,46,112,1
29,47,112,4
29,46,112,2
29,45,113,1
28,46,113,2
28,45,114,6
29,45,114,1
28,46,114,2
28,45,115,6
29,45,115,2
29,44,116,1
28,45,116,1
27,46,116,1
26,47,116,2
26,46,117,2
26,45,118,6
27,45,118,2
27,44,119,1
26,45,119,1
25,46,119,2
25,45,120,2
25,44,121,2
25,43,122,5
25,43,121,2
25,42,122,2
25,41,123,2
25,40,124,2
25,39,125,1
24,40,125,2
24,39,126,2
24,38,127,1
23,39,127,6
24,39,127,2
24,38,128,2
24,37,129,1
23,38,129,2
23,37,130,2
23,36,131,6
24,36,131,2
24,35,132,6
25,35,132,6
26,35,132,2
26,34,133,2
26,33,134,2
26,32,135,2
26,31,136,1
25,32,136,6
26,32,136,2
26,31,137,2
26,30,138,2
26,29,139,1
25,30,139,6
26,30,139,2
26,29,140,6
27,29,140,2
27,28,141,6
28,28,141,6
29,28,141,1
28,29,141,2
28,28,142,1
27,29,142,6
28,29,142,2
28,28,143,6
29,28,143,6
30,28,143,1
29,29,143,6
30,29,143,2
30,28,144,2
30,27,145,6
31,27,145,6
32,27,145,2
32,26,146,6
33,26,146,2
33,25,147,2
33,24,148,2
33,23,149,1
32,24,149,2
32,23,150,1
31,24,150,6
32,24,150,2
32,23,151,2
32,22,152,2
32,21,153,6
33,21,153,1
32,22,153,1
31,23,153,2
31,22,154,1
30,23,154,2
30,22,155,2
30,21,156,2
30,20,157,6
31,20,157,6
32,20,157,6
33,20,157,2
33,19,158,2
33,18,159,2
33,17,160,5
33,17,159,6
34,17,159,6
35,17,159,2
35,16,160,6
36,16,160,2
36,15,161,1
35,16,161,1
34,17,161,1
33,18,161,6
34,18,161,6
35,18,161,2
35,17,162,6
36,17,162,1
35,18,162,2
35,17,163,6
36,17,163,2
36,16,164,1
35,17,164,6
36,17,164,2
36,16,165,6
37,16,165,1
36,17,165,6
37,17,165,6
38,17,165,1
37,18,165,2
37,17,166,1
36,18,166,2
36,17,167,6
37,17,167,2
37,16,168,2
37,15,169,6
38,15,169,6
39,15,169,1
38,16,169,1
37,17,169,1
36,18,169,2
36,17,170,6
37,17,170,2
37,16,171,6
38,16,171,2
38,15,172,6
39,15,172,1
38,16,172,1
37,17,172,2
37,16,173,6
38,16,173,6
39,16,173,1
38,17,173,6
39,17,173,6
40,17,173,2
40,16,174,1
39,17,174,1
38,18,174,2
38,17,175,1
37,18,175,2
37,17,176,2
37,16,177,2
37,15,178,1
36,16,178,1
35,17,178,2
35,16,179,6
36,16,179,1
35,17,179,1
34,18,179,3
33,18,179,2
33,17,180,6
34,17,180,2
34,16,181,2
34,15,182,6
35,15,182,2
35,14,183,2
35,13,184,6
36,13,184,6
37,13,184,6
38,13,184,2
38,12,185,2
38,11,186,1
37,12,186,6
38,12,186,2
38,11,187,1
37,12,187,6
38,12,187,2
38,11,188,6
39,11,188,2
39,10,189,6
40,10,189,6
41,10,189,6
42,10,189,6
43,10,189,2
43,9,190,6
44,9,190,2
44,8,191,6
45,8,191,2
45,7,192,6
46,7,192,1
45,8,192,6
46,8,192,6
47,8,192,1
46,9,192,1
45,10,192,6
46,10,192,6
47,10,192,6
48,10,192,2
48,9,193,6
49,9,193,2
49,8,194,1
48,9,194,1
47,10,194,1
46,11,194,6
47,11,194,6
48,11,194,6
49,11,194,5
49,11,193,2
49,10,194,1
48,11,194,2
48,10,195,6
49,10,195,6
50,10,195,6
51,10,195,1
50,11,195,1
49,12,195,1
48,13,195,6
49,13,195,2
49,12,196,1
48,13,196,2
48,12,197,6
49,12,197,6
50,12,197,6
51,12,197,1
50,13,197,2
50,12,198,6
51,12,198,6
52,12,198,2
52,11,199,6
53,11,199,6
54,11,199,1
53,12,199,2
53,11,200,1
52,12,200,6
53,12,200,1
52,13,200,1
51,14,200,1
50,15,200,5
50,15,199,6
51,15,199,6
52,15,199,2
52,14,200,1
51,15,200,1
50,16,200,1
49,17,200,1
48,18,200,6
49,18,200,2
49,17,201,1
48,18,201,6
49,18,201,6
50,18,201,2
50,17,202,1
49,18,202,2
49,17,203,1
48,18,203,6
49,18,203,1
48,19,203,2
48,18,204,2
48,17,205,5
48,17,204,6
49,17,204,2
49,16,205,2
49,15,206,1
48,16,206,2
48,15,207,2
48,14,208,2
48,13,209,1
47,14,209,6
48,14,209,6
49,14,209,6
50,14,209,1
49,15,209,6
50,15,209,2
50,14,210,2
50,13,211,6
51,13,211,6
52,13,211,1
51,14,211,6
52,14,211,6
53,14,211,2
53,13,212,6
54,13,212,1
53,14,212,1
52,15,212,2
52,14,213,1
51,15,213,2
51,14,214,6
52,14,214,1
51,15,214,1
50,16,214,1
49,17,214,2
49,16,215,2
49,15,216,2
49,14,217,2
49,13,218,1
48,14,218,6
49,14,218,2
49,13,219,1
48,14,219,6
49,14,219,1
48,15,219,6
49,15,219,1
48,16,219,2
48,15,220,1
47,16,220,2
47,15,221,6
48,15,221,6
49,15,221,2
49,14,222,6
50,14,222,1
49,15,222,2
49,14,223,6
50,14,223,1
49,15,223,1
48,16,223,1
47,17,223,2
47,16,224,1
46,17,224,1
45,18,224,2
45,17,225,1
44,18,225,2
44,17,226,1
43,18,226,6
44,18,226,2
44,17,227,2
44,16,228,1
43,17,228,6
44,17,228,2
44,16,229,2
44,15,230,6
45,15,230,2
45,14,231,1
44,15,231,1
43,16,231,2
43,15,232,2
43,14,233,2
43,13,234,1
42,14,234,6
43,14,234,2
43,13,235,6
44,13,235,1
43,14,235,2
43,13,236,6
44,13,236,6
45,13,236,6
46,13,236,6
47,13,236,2
47,12,237,2
47,11,238,2
47,10,239,2
47,9,240,6
48,9,240,2
48,8,241,6
49,8,241,2
49,7,242,6
50,7,242,6
51,7,242,1
50,8,242,2
50,7,243,2
50,6,244,1
49,7,244,6
50,7,244,2
50,6,245,6
51,6,245,6
52,6,245,1
51,7,245,5
51,7,244,6
52,7,244,1
51,8,244,1
50,9,244,6
51,9,244,2
51,8,245,6
52,8,245,2
52,7,246,6
53,7,246,1
52,8,246,1
51,9,246,1
50,10,246,6
51,10,246,1
50,11,246,6
51,11,246,1
50,12,246,1
49,13,246,6
50,13,246,6
51,13,246,2
51,12,247,1
50,13,247,2
50,12,248,6
51,12,248,2
51,11,249,6
52,11,249,6
53,11,249,6
54,11,249,6
55,11,249,1
54,12,249,2
54,11,250,6
55,11,250,6
56,11,250,2
56,10,251,2
56,9,252,2
56,8,253,1
55,9,253,6
56,9,253,1
55,10,253,1
54,11,253,6
55,11,253,2
55,10,254,2
55,9,255,2
55,8,256,6
56,8,256,1
55,9,256,6
56,9,256,2
56,8,257,6
57,8,257,6
58,8,257,6
59,8,257,6
60,8,257,2
60,7,258,2
60,6,259,1
59,7,259,6
60,7,259,6
61,7,259,1
60,8,259,6
61,8,259,2
61,7,260,6
62,7,260,6
63,7,260,2
63,6,261,2
63,5,262,6
64,5,262,6
65,5,262,6
66,5,262,1
65,6,262,6
66,6,262,1
65,7,262,1
64,8,262,1
63,9,262,1
62,10,262,1
61,11,262,2
61,10,263,1
60,11,263,1
59,12,263,2
59,11,264,6
60,11,264,1
59,12,264,6
60,12,264,2
60,11,265,6
61,11,265,2
61,10,266,6
62,10,266,1
61,11,266,6
62,11,266,2
62,10,267,6
63,10,267,1
62,11,267,2
62,10,268,1
61,11,268,1
60,12,268,1
59,13,268,1
58,14,268,1
57,15,268,2
57,14,269,1
56,15,269,1
55,16,269,1
54,17,269,6
55,17,269,2
55,16,270,2
55,15,271,6
56,15,271,1
55,16,271,6
56,16,271,6
57,16,271,2
57,15,272,2
57,14,273,2
57,13,274,2
57,12,275,6
58,12,275,1
57,13,275,6
58,13,275,2
58,12,276,1
57,13,276,6
58,13,276,6
