S,I,R,Reaction Type
51,18,188,1
50,19,188,2
50,18,189,6
51,18,189,2
51,17,190,2
51,16,191,1
50,17,191,1
49,18,191,6
50,18,191,1
49,19,191,2
49,18,192,1
48,19,192,2
48,18,193,6
49,18,193,1
48,19,193,6
49,19,193,6
50,19,193,6
51,19,193,6
52,19,193,2
52,18,194,6
53,18,194,2
53,17,195,6
54,17,195,2
54,16,196,6
55,16,196,6
56,16,196,2
56,15,197,6
57,15,197,6
58,15,197,1
57,16,197,1
56,17,197,2
56,16,198,1
55,17,198,1
54,18,198,6
55,18,198,1
54,19,198,1
53,20,198,5
53,20,197,1
52,21,197,2
52,20,198,1
51,21,198,2
51,20,199,1
50,21,199,1
49,22,199,2
49,21,200,1
48,22,200,1
