P1,P2,R1,Reaction Type
15,28,41,6
15,28,40,9
16,28,40,1
15,28,41,4
15,28,42,8
15,27,42,2
15,26,43,2
15,25,44,4
15,25,45,8
15,24,45,9
16,24,45,3
16,25,44,3
16,26,43,10
16,27,43,9
17,27,43,4
17,27,44,6
17,27,43,5
17,26,42,8
17,25,42,1
16,25,43,4
16,25,44,6
16,25,43,7
15,25,43,9
16,25,43,10
16,26,43,9
17,26,43,6
17,26,42,10
17,27,42,4
17,27,43,4
17,27,44,3
17,28,43,3
17,29,42,3
17,30,41,4
17,30,42,6
17,30,41,7
16,30,41,2
16,29,42,8
16,28,42,6
16,28,41,4
16,28,42,9
17,28,42,4
17,28,43,8
17,27,43,6
17,27,42,3
17,28,41,6
17,28,40,3
17,29,39,1
16,29,40,2
16,28,41,10
16,29,41,3
16,30,40,9
17,30,40,3
17,31,39,6
17,31,38,3
17,32,37,4
17,32,38,8
17,31,38,9
18,31,38,7
17,31,38,2
17,30,39,4
17,30,40,4
17,30,41,6
17,30,40,8
17,29,40,8
17,28,40,8
17,27,40,6
17,27,39,3
17,28,38,8
17,27,38,3
17,28,37,4
17,28,38,7
16,28,38,1
15,28,39,8
15,27,39,6
15,27,38,9
16,27,38,5
16,26,37,4
16,26,38,4
16,26,39,10
16,27,39,6
16,27,38,9
17,27,38,5
17,26,37,9
18,26,37,9
19,26,37,10
19,27,37,8
19,26,37,6
19,26,36,8
19,25,36,9
20,25,36,6
20,25,35,9
21,25,35,4
21,25,36,3
21,26,35,8
21,25,35,3
21,26,34,3
21,27,33,9
22,27,33,3
22,28,32,1
21,28,33,5
21,27,32,1
20,27,33,1
19,27,34,9
20,27,34,2
20,26,35,8
20,25,35,10
20,26,35,6
20,26,34,4
20,26,35,9
21,26,35,6
21,26,34,8
21,25,34,7
20,25,34,3
20,26,33,4
20,26,34,10
20,27,34,8
20,26,34,8
20,25,34,6
20,25,33,6
20,25,32,3
20,26,31,10
20,27,31,3
20,28,30,9
21,28,30,9
22,28,30,4
22,28,31,6
22,28,30,4
22,28,31,5
22,27,30,9
23,27,30,9
24,27,30,4
24,27,31,1
23,27,32,10
23,28,32,10
23,29,32,4
23,29,33,4
23,29,34,4
23,29,35,7
22,29,35,2
22,28,36,8
22,27,36,8
22,26,36,5
22,25,35,3
22,26,34,8
22,25,34,6
22,25,33,10
22,26,33,1
21,26,34,9
22,26,34,10
22,27,34,9
23,27,34,7
22,27,34,6
22,27,33,9
23,27,33,2
23,26,34,4
23,26,35,6
23,26,34,8
23,25,34,9
24,25,34,9
25,25,34,10
25,26,34,10
25,27,34,3
25,28,33,9
26,28,33,10
26,29,33,10
26,30,33,2
26,29,34,9
27,29,34,5
27,28,33,8
27,27,33,4
27,27,34,1
26,27,35,4
26,27,36,6
26,27,35,10
26,28,35,7
25,28,35,2
25,27,36,10
25,28,36,4
25,28,37,9
26,28,37,4
26,28,38,3
26,29,37,10
26,30,37,9
27,30,37,4
27,30,38,1
26,30,39,2
26,29,40,7
25,29,40,8
25,28,40,3
25,29,39,8
25,28,39,8
25,27,39,1
24,27,40,8
24,26,40,6
24,26,39,4
24,26,40,5
24,25,39,6
24,25,38,10
24,26,38,9
25,26,38,1
24,26,39,3
24,27,38,10
24,28,38,9
25,28,38,4
25,28,39,4
25,28,40,8
25,27,40,10
25,28,40,6
25,28,39,3
25,29,38,8
25,28,38,9
26,28,38,2
26,27,39,9
27,27,39,9
28,27,39,2
28,26,40,8
28,25,40,4
28,25,41,10
28,26,41,6
28,26,40,9
29,26,40,3
29,27,39,1
28,27,40,3
28,28,39,8
28,27,39,8
28,26,39,2
28,25,40,9
29,25,40,9
30,25,40,7
29,25,40,7
28,25,40,4
28,25,41,1
27,25,42,2
27,24,43,9
28,24,43,8
28,23,43,2
28,22,44,7
27,22,44,7
26,22,44,6
26,22,43,10
26,23,43,10
26,24,43,9
27,24,43,1
26,24,44,1
25,24,45,4
25,24,46,6
25,24,45,6
25,24,44,7
24,24,44,4
24,24,45,9
25,24,45,8
25,23,45,9
26,23,45,7
25,23,45,4
25,23,46,6
25,23,45,2
25,22,46,3
25,23,45,10
25,24,45,4
25,24,46,10
25,25,46,2
25,24,47,7
24,24,47,6
24,24,46,8
24,23,46,6
24,23,45,8
24,22,45,4
24,22,46,2
24,21,47,1
23,21,48,9
24,21,48,4
24,21,49,3
24,22,48,4
24,22,49,9
25,22,49,4
25,22,50,6
25,22,49,7
24,22,49,3
24,23,48,8
24,22,48,4
24,22,49,10
24,23,49,4
24,23,50,9
25,23,50,5
25,22,49,2
25,21,50,6
25,21,49,9
26,21,49,9
27,21,49,8
27,20,49,3
27,21,48,3
27,22,47,2
27,21,48,6
27,21,47,1
26,21,48,2
26,20,49,8
26,19,49,7
25,19,49,3
25,20,48,3
25,21,47,8
25,20,47,9
26,20,47,4
26,20,48,2
26,19,49,1
25,19,50,4
25,19,51,3
25,20,50,6
25,20,49,10
25,21,49,7
24,21,49,2
24,20,50,7
23,20,50,9
24,20,50,4
24,20,51,9
25,20,51,2
25,19,52,10
25,20,52,4
25,20,53,8
25,19,53,10
25,20,53,10
25,21,53,1
24,21,54,7
23,21,54,4
23,21,55,3
23,22,54,9
24,22,54,9
25,22,54,9
26,22,54,2
26,21,55,6
26,21,54,6
26,21,53,5
26,20,52,6
26,20,51,3
26,21,50,10
26,22,50,10
26,23,50,2
26,22,51,10
26,23,51,1
25,23,52,4
25,23,53,7
24,23,53,8
24,22,53,8
24,21,53,10
24,22,53,4
24,22,54,1
23,22,55,10
23,23,55,4
23,23,56,9
24,23,56,3
24,24,55,4
24,24,56,7
23,24,56,3
23,25,55,2
23,24,56,9
24,24,56,1
23,24,57,6
23,24,56,8
23,23,56,1
22,23,57,1
21,23,58,9
22,23,58,9
23,23,58,9
24,23,58,6
24,23,57,3
24,24,56,10
24,25,56,8
24,24,56,3
24,25,55,7
23,25,55,6
23,25,54,6
23,25,53,9
24,25,53,9
25,25,53,3
25,26,52,8
25,25,52,10
25,26,52,6
25,26,51,6
25,26,50,6
25,26,49,1
24,26,50,10
24,27,50,7
23,27,50,6
23,27,49,9
24,27,49,3
24,28,48,1
23,28,49,6
23,28,48,4
23,28,49,4
23,28,50,10
23,29,50,9
24,29,50,1
23,29,51,10
23,30,51,2
23,29,52,2
23,28,53,1
22,28,54,9
23,28,54,1
22,28,55,10
22,29,55,3
22,30,54,9
23,30,54,9
24,30,54,6
24,30,53,3
24,31,52,2
24,30,53,1
23,30,54,10
23,31,54,6
23,31,53,1
22,31,54,3
22,32,53,10
22,33,53,10
22,34,53,8
22,33,53,3
22,34,52,4
22,34,53,3
22,35,52,4
22,35,53,4
22,35,54,5
22,34,53,6
22,34,52,1
21,34,53,9
22,34,53,6
22,34,52,6
22,34,51,6
22,34,50,6
22,34,49,7
21,34,49,8
21,33,49,7
20,33,49,5
20,32,48,9
21,32,48,3
21,33,47,5
21,32,46,9
22,32,46,6
22,32,45,10
22,33,45,9
23,33,45,9
24,33,45,8
24,32,45,2
24,31,46,6
24,31,45,10
24,32,45,5
24,31,44,4
24,31,45,6
24,31,44,2
24,30,45,3
24,31,44,6
24,31,43,6
24,31,42,10
24,32,42,9
25,32,42,7
24,32,42,5
24,31,41,9
25,31,41,1
24,31,42,9
25,31,42,8
25,30,42,2
25,29,43,3
25,30,42,2
25,29,43,6
25,29,42,3
25,30,41,3
25,31,40,6
25,31,39,2
25,30,40,10
25,31,40,1
24,31,41,9
25,31,41,4
25,31,42,4
25,31,43,6
25,31,42,2
25,30,43,4
25,30,44,8
25,29,44,4
25,29,45,7
24,29,45,2
24,28,46,3
24,29,45,4
24,29,46,3
24,30,45,8
24,29,45,6
24,29,44,9
25,29,44,3
25,30,43,3
25,31,42,1
24,31,43,10
24,32,43,4
24,32,44,9
25,32,44,4
25,32,45,10
25,33,45,10
25,34,45,9
26,34,45,8
26,33,45,2
26,32,46,3
26,33,45,6
26,33,44,2
26,32,45,4
26,32,46,1
25,32,47,7
24,32,47,3
24,33,46,4
24,33,47,2
24,32,48,9
25,32,48,6
25,32,47,6
25,32,46,9
26,32,46,8
26,31,46,2
26,30,47,8
26,29,47,10
26,30,47,6
26,30,46,1
25,30,47,3
25,31,46,3
25,32,45,4
25,32,46,6
25,32,45,2
25,31,46,3
25,32,45,9
26,32,45,4
26,32,46,2
26,31,47,1
25,31,48,8
25,30,48,6
25,30,47,6
25,30,46,10
25,31,46,2
25,30,47,9
26,30,47,2
26,29,48,6
26,29,47,2
26,28,48,6
26,28,47,7
25,28,47,9
26,28,47,3
26,29,46,4
26,29,47,9
27,29,47,7
26,29,47,8
26,28,47,6
26,28,46,4
26,28,47,6
26,28,46,7
25,28,46,6
25,28,45,1
24,28,46,2
24,27,47,8
24,26,47,1
23,26,48,9
24,26,48,3
24,27,47,1
23,27,48,6
23,27,47,9
24,27,47,10
24,28,47,7
23,28,47,2
23,27,48,2
23,26,49,10
23,27,49,3
23,28,48,4
23,28,49,7
22,28,49,2
22,27,50,6
22,27,49,3
22,28,48,2
22,27,49,7
21,27,49,4
21,27,50,4
21,27,51,2
21,26,52,6
21,26,51,3
21,27,50,4
21,27,51,8
21,26,51,4
21,26,52,2
21,25,53,6
21,25,52,3
21,26,51,6
21,26,50,6
21,26,49,4
21,26,50,4
21,26,51,6
21,26,50,8
21,25,50,2
21,24,51,6
21,24,50,6
21,24,49,3
21,25,48,9
22,25,48,7
21,25,48,1
20,25,49,6
20,25,48,3
20,26,47,6
20,26,46,10
